14 Jan 2019 16:51:46.965 INFO  [main] - [org.shop.ShopLauncher] - Starting ShopLauncher on EPRUIZHW0279 with PID 6520 (C:\Users\petr_bunegin\IdeaProjects\MyShopSpringMVC\target\classes started by Petr_Bunegin in C:\Users\petr_bunegin\IdeaProjects\MyShopSpringMVC)
14 Jan 2019 16:51:46.967 INFO  [main] - [org.shop.ShopLauncher] - No active profile set, falling back to default profiles: default
14 Jan 2019 16:51:48.467 INFO  [main] - [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
14 Jan 2019 16:51:48.483 INFO  [main] - [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8080"]
14 Jan 2019 16:51:48.492 INFO  [main] - [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
14 Jan 2019 16:51:48.492 INFO  [main] - [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.14]
14 Jan 2019 16:51:48.501 INFO  [main] - [org.apache.catalina.core.AprLifecycleListener] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_172\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Git\cmd;C:\Program Files\nodejs\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files (x86)\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\ManagementStudio\;C:\Program Files\Microsoft VS Code\bin;C:\Users\petr_bunegin\AppData\Local\Microsoft\WindowsApps;;.]
14 Jan 2019 16:51:48.606 INFO  [main] - [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
14 Jan 2019 16:51:48.606 INFO  [main] - [org.springframework.web.context.ContextLoader] - Root WebApplicationContext: initialization completed in 1519 ms
14 Jan 2019 16:51:48.876 INFO  [main] - [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] - Initializing ExecutorService 'applicationTaskExecutor'
14 Jan 2019 16:51:49.043 INFO  [main] - [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8080"]
14 Jan 2019 16:51:49.119 INFO  [main] - [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8080 (http) with context path ''
14 Jan 2019 16:51:49.122 INFO  [main] - [org.shop.ShopLauncher] - Started ShopLauncher in 2.544 seconds (JVM running for 3.099)
14 Jan 2019 16:51:58.915 INFO  [http-nio-8080-exec-1] - [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14 Jan 2019 16:51:58.915 INFO  [http-nio-8080-exec-1] - [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
14 Jan 2019 16:51:58.921 INFO  [http-nio-8080-exec-1] - [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 6 ms
14 Jan 2019 16:51:58.966 WARN  [http-nio-8080-exec-1] - [org.springframework.web.servlet.resource.ResourceHttpRequestHandler] - Path with "WEB-INF" or "META-INF": [WEB-INF/jsp/login.jsp]
14 Jan 2019 16:52:05.968 WARN  [http-nio-8080-exec-3] - [org.springframework.web.servlet.resource.ResourceHttpRequestHandler] - Path with "WEB-INF" or "META-INF": [WEB-INF/jsp/login.jsp]
